real_inputs,given_candidate,target,predicted,top_candidates
"[8.0, 10.0, 15.0, 0.2]",[ 9.42216488 14.95957806 20.28544649  0.22343435],232.62,233.31789,"[array([ 9.42216488, 14.95957806, 20.28544649,  0.22343435]), array([ 9.42216488, 14.95957806, 20.28544649,  0.22343435]), array([ 9.7189059 , 12.63068587, 20.66634296,  0.24012075]), array([ 9.42216488, 14.95957806, 20.28544649,  0.22343435]), array([ 9.6       , 14.06974585, 22.26169159,  0.21002782])]"
"[8.0, 10.0, 20.0, 0.3]",[ 8.70915452 15.15289204 22.89387599  0.27066761],232.08,231.5069,"[array([ 8.70915452, 15.15289204, 22.89387599,  0.27066761]), array([ 8.66654686, 15.1519424 , 23.51623197,  0.27373708]), array([ 8.82600654, 15.17123278, 23.52155596,  0.26756817]), array([ 8.48920955, 16.2816342 , 22.73177019,  0.2807082 ]), array([ 8.68201607, 15.06826886, 23.74401275,  0.29897679])]"
"[8.0, 15.0, 15.0, 0.3]",[ 8.90062603 11.66714387 19.74392145  0.28502444],238.63,238.47664,"[array([ 8.90062603, 11.66714387, 19.74392145,  0.28502444]), array([ 8.56990566, 11.97791205, 19.42153117,  0.29433075]), array([ 8.87005465, 12.09526504, 15.68356639,  0.29644688]), array([ 8.89316842, 11.90049068, 19.92779751,  0.29358976]), array([ 8.32430327, 10.48509836, 19.72524268,  0.29384118])]"
"[8.0, 15.0, 20.0, 0.2]",[ 8.98566582 19.14194437 15.85123016  0.20696563],219.76,221.92464,"[array([ 8.98566582, 19.14194437, 15.85123016,  0.20696563]), array([ 8.29855342, 16.86011178, 18.85230292,  0.24293177]), array([ 8.3538986 , 19.58355868, 15.57958549,  0.21919172]), array([ 8.93229668, 19.30455275, 15.9171008 ,  0.2       ]), array([ 8.98566582, 19.14194437, 15.85123016,  0.20696563])]"
"[8.0, 20.0, 15.0, 0.2]",[ 8.         20.         15.62699782  0.2       ],196.63,200.81734,"[array([ 8.        , 20.        , 15.62699782,  0.2       ]), array([ 8.        , 20.        , 15.        ,  0.22009924]), array([ 8. , 20. , 15. ,  0.2]), array([ 8. , 20. , 15. ,  0.2]), array([ 8.36256451, 20.        , 15.05064885,  0.2       ])]"
"[8.0, 20.0, 20.0, 0.3]",[ 8.45706604 13.85696316 22.20688161  0.2       ],224.38,225.31743,"[array([ 8.45706604, 13.85696316, 22.20688161,  0.2       ]), array([ 8.34210968, 14.78934334, 20.05294241,  0.21768297]), array([ 8.25810116, 13.45551993, 21.6889771 ,  0.24663145]), array([ 8.        , 14.92757116, 22.39394689,  0.2       ]), array([ 8.        , 12.82619484, 20.29910923,  0.2       ])]"
"[8.0, 20.0, 25.0, 0.4]",[ 8.04389799 15.67990801 23.26550305  0.35305847],231.34,231.30981,"[array([ 8.04389799, 15.67990801, 23.26550305,  0.35305847]), array([ 8.98456957, 19.80372465, 23.39360817,  0.39383073]), array([ 8.04389799, 15.67990801, 23.26550305,  0.35305847]), array([ 8.        , 15.80372465, 23.25030151,  0.31940019]), array([ 8.23641205, 17.65874307, 23.19450226,  0.38183008])]"
"[10.0, 10.0, 20.0, 0.2]",[10.7356424  13.67286231 18.47949648  0.27848841],256.11,258.0317,"[array([10.7356424 , 13.67286231, 18.47949648,  0.27848841]), array([10.90944141, 14.09916978, 17.00522043,  0.25510852]), array([10.83129073, 14.30803035, 18.32207619,  0.28770406]), array([10.7356424 , 13.67286231, 18.47949648,  0.27848841]), array([10.29771285, 13.6229513 , 19.14426018,  0.29394786])]"
"[10.0, 10.0, 20.0, 0.3]",[10.25213001 14.90560245 20.55815806  0.28340104],264.86,264.66284,"[array([10.25213001, 14.90560245, 20.55815806,  0.28340104]), array([10.88179871, 14.76452344, 20.4197178 ,  0.28360309]), array([10.16873116, 13.94558592, 21.52188023,  0.29340466]), array([11.53538799, 14.8016138 , 20.30363121,  0.28875246]), array([10.45961061, 14.52205992, 20.09048977,  0.26474896])]"
"[10.0, 10.0, 25.0, 0.2]",[ 8.         14.         22.77006187  0.32118574],228.21,227.97481,"[array([ 8.        , 14.        , 22.77006187,  0.32118574]), array([ 8.        , 13.82354914, 24.00230009,  0.34574765]), array([ 8.41734563, 14.50538838, 22.9781564 ,  0.33353069]), array([ 8.        , 14.37419914, 24.54167304,  0.35602628]), array([ 8.        , 14.00052053, 23.59503388,  0.31950557])]"
"[10.0, 15.0, 25.0, 0.2]",[ 9.64077358 10.96586952 17.18012139  0.25884249],249.42,246.70486,"[array([ 9.64077358, 10.96586952, 17.18012139,  0.25884249]), array([ 9.72621357, 10.30415468, 18.10226488,  0.26985761]), array([ 9.55545243, 11.29218469, 17.22712347,  0.25507229]), array([ 9.69526995, 10.        , 15.23780038,  0.27472684]), array([ 9.71753403, 11.9968376 , 17.07501659,  0.27622143])]"
"[10.0, 20.0, 25.0, 0.4]",[12.         20.         21.          0.21838602],306.28,306.49307,"[array([12.        , 20.        , 21.        ,  0.21838602]), array([12.       , 20.       , 22.0338245,  0.2      ]), array([12.        , 20.        , 22.16385874,  0.2       ]), array([12.        , 20.        , 21.93105385,  0.2       ]), array([12.        , 20.        , 22.16714043,  0.2       ])]"
"[12.0, 15.0, 15.0, 0.3]",[12.         17.0613697  21.1636066   0.22843266],297.65,297.07144,"[array([12.        , 17.0613697 , 21.1636066 ,  0.22843266]), array([12.        , 16.99943094, 21.        ,  0.22742979]), array([12.        , 15.40536311, 21.        ,  0.21784045]), array([12.        , 18.35512649, 20.74031976,  0.24289782]), array([12.        , 17.01556682, 21.11123924,  0.21479147])]"
"[12.0, 15.0, 25.0, 0.2]",[12.         12.54395923 16.20448261  0.20771609],272.24,272.22333,"[array([12.        , 12.54395923, 16.20448261,  0.20771609]), array([12.        , 12.55021012, 15.53598041,  0.2       ]), array([12.        , 13.69505263, 15.        ,  0.20639106]), array([12.        , 13.09082453, 15.        ,  0.2       ]), array([12.        , 13.31975129, 15.        ,  0.2       ])]"
"[12.0, 20.0, 15.0, 0.3]",[11.59023402 20.         21.15352457  0.2       ],278.4,278.18097,"[array([11.59023402, 20.        , 21.15352457,  0.2       ]), array([11.54220265, 20.        , 21.42050328,  0.2       ]), array([11.97003089, 20.        , 22.44001348,  0.2       ]), array([11.79544391, 20.        , 20.93664545,  0.2       ]), array([11.57399814, 20.        , 21.70235137,  0.2       ])]"
"[12.0, 20.0, 20.0, 0.4]",[12.         20.         20.72515535  0.39172226],337.88,318.90735,"[array([12.        , 20.        , 20.72515535,  0.39172226]), array([12.        , 20.        , 22.34603829,  0.33167029]), array([12.        , 20.        , 22.40366746,  0.33117995]), array([12.        , 20.        , 20.09413594,  0.37441998]), array([12.        , 20.        , 20.56625709,  0.3917589 ])]"
"[12.0, 20.0, 25.0, 0.3]",[12.         20.         21.12544981  0.37353399],334.54,318.90735,"[array([12.        , 20.        , 21.12544981,  0.37353399]), array([12.        , 20.        , 21.59807491,  0.37687137]), array([12.        , 20.        , 21.21854665,  0.38169656]), array([12.        , 20.        , 21.2064668 ,  0.36421887]), array([12.        , 20.        , 20.37428462,  0.3622603 ])]"
"[12.0, 20.0, 25.0, 0.4]",[12.         20.         22.60729361  0.2       ],342.45,306.71878,"[array([12.        , 20.        , 22.60729361,  0.2       ]), array([12.        , 20.        , 24.60876739,  0.2       ]), array([12.        , 20.        , 22.78328759,  0.21082689]), array([12.        , 20.        , 22.57629824,  0.2       ]), array([12.        , 20.        , 24.03950138,  0.2       ])]"
"[9.0, 12.5, 15.0, 0.3]",[ 9.60549145 13.87492498 17.71568038  0.4       ],247.57,246.33862,"[array([ 9.60549145, 13.87492498, 17.71568038,  0.4       ]), array([ 9.6       , 14.94373395, 18.31903184,  0.4       ]), array([ 9.6       , 14.        , 15.63338218,  0.4       ]), array([ 9.6       , 14.        , 18.20052684,  0.4       ]), array([ 9.6       , 13.55549873, 18.26291077,  0.4       ])]"
"[10.0, 12.5, 22.5, 0.25]",[10.54404647 19.72817866 17.08749299  0.29783729],260.71,259.43326,"[array([10.54404647, 19.72817866, 17.08749299,  0.29783729]), array([10.54404647, 19.72817866, 17.08749299,  0.29783729]), array([11.16171825, 19.6178355 , 16.12560063,  0.28204604]), array([10.52687505, 15.78584675, 17.964521  ,  0.2967013 ]), array([10.68957798, 15.3463226 , 17.43824737,  0.29199534])]"
"[8.0, 10.0, 20.0, 0.4]",[ 9.60995283 17.30799485 15.          0.4       ],249.21,249.12578,"[array([ 9.60995283, 17.30799485, 15.        ,  0.4       ]), array([ 9.60675518, 15.3204945 , 15.        ,  0.4       ]), array([ 9.33173853, 17.60349255, 15.16467434,  0.4       ]), array([ 9.50612982, 17.69022118, 15.        ,  0.4       ]), array([ 9.51066194, 19.3204945 , 15.        ,  0.4       ])]"
"[8.0, 15.0, 15.0, 0.2]",[ 8.         15.09581466 25.          0.38905894],221.1,220.86331,"[array([ 8.        , 15.09581466, 25.        ,  0.38905894]), array([ 8.22256325, 17.68704044, 25.        ,  0.38835599]), array([ 8.50558878, 16.03729386, 25.        ,  0.3619199 ]), array([ 8.        , 15.5258871 , 25.        ,  0.39322011]), array([ 8.        , 15.18514135, 25.        ,  0.39319069])]"
"[8.0, 15.0, 15.0, 0.4]",[ 9.41734332 10.         18.27194519  0.23676995],242.32,242.32013,"[array([ 9.41734332, 10.        , 18.27194519,  0.23676995]), array([ 9.61923956, 10.46962133, 17.10541257,  0.24939983]), array([ 9.86579044, 10.        , 15.        ,  0.21342536]), array([ 9.39151559, 10.        , 17.63159604,  0.24651761]), array([ 9.38002467, 10.80902853, 15.70406024,  0.2       ])]"
"[8.0, 15.0, 25.0, 0.2]",[ 8.52045596 20.         15.53082356  0.30649386],202.62,203.22406,"[array([ 8.52045596, 20.        , 15.53082356,  0.30649386]), array([ 8.       , 20.       , 15.       ,  0.3175763]), array([ 8.        , 20.        , 15.        ,  0.34061069]), array([ 8.06081571, 20.        , 15.        ,  0.36225638]), array([ 8.        , 20.        , 15.        ,  0.30364927])]"
"[8.0, 15.0, 25.0, 0.3]",[ 8.84631721 16.80805802 25.          0.22704912],208.21,208.50775,"[array([ 8.84631721, 16.80805802, 25.        ,  0.22704912]), array([ 8.62301249, 16.34088616, 25.        ,  0.2       ]), array([ 8.       , 16.5578211, 25.       ,  0.2      ]), array([ 8.84407152, 15.94414553, 25.        ,  0.21684996]), array([ 8.48783542, 15.06154132, 25.        ,  0.2       ])]"
"[10.0, 10.0, 15.0, 0.3]",[10.14287039 16.77789502 15.42529511  0.36095521],270.05,270.239,"[array([10.14287039, 16.77789502, 15.42529511,  0.36095521]), array([10.36857442, 18.12881745, 15.        ,  0.32169083]), array([10.1358283 , 17.90587748, 15.43228947,  0.38233697]), array([10.57257244, 17.29978257, 15.42701853,  0.36178345]), array([10.14287039, 16.77789502, 15.42529511,  0.36095521])]"
"[10.0, 10.0, 25.0, 0.4]",[ 9.60667106 19.538746   21.36971121  0.34349345],238.74,238.74054,"[array([ 9.60667106, 19.538746  , 21.36971121,  0.34349345]), array([ 9.60667106, 19.538746  , 21.36971121,  0.34349345]), array([ 9.68176229, 15.45077656, 21.57274324,  0.37218679]), array([ 9.70888909, 19.58032901, 20.9582791 ,  0.35332273]), array([ 9.60667106, 19.538746  , 21.36971121,  0.34349345])]"
"[10.0, 15.0, 20.0, 0.2]",[12.         20.         19.03009935  0.4       ],284.2,283.86942,"[array([12.        , 20.        , 19.03009935,  0.4       ]), array([12.        , 20.        , 18.19787763,  0.4       ]), array([12.        , 20.        , 19.47967545,  0.4       ]), array([12.        , 20.        , 19.66639874,  0.4       ]), array([12.        , 20.        , 18.58333203,  0.4       ])]"
"[10.0, 15.0, 20.0, 0.3]",[11.39623833 20.         21.          0.36228941],281.82,281.83057,"[array([11.39623833, 20.        , 21.        ,  0.36228941]), array([11.72678329, 20.        , 21.73589028,  0.38100037]), array([11.83207159, 20.        , 20.93513174,  0.35957602]), array([11.00536611, 20.        , 20.82125022,  0.36936962]), array([11.50866119, 20.        , 21.44393767,  0.38321747])]"
"[10.0, 15.0, 25.0, 0.4]",[12.         17.88942398 25.          0.4       ],286.96,286.7889,"[array([12.        , 17.88942398, 25.        ,  0.4       ]), array([12.        , 19.92898829, 25.        ,  0.4       ]), array([12.        , 19.96498769, 25.        ,  0.4       ]), array([12.        , 19.61610048, 25.        ,  0.4       ]), array([12.        , 19.59156428, 25.        ,  0.4       ])]"
"[10.0, 20.0, 15.0, 0.2]",[ 9.96727106 15.36159231 15.02860769  0.26582504],239.45,239.69186,"[array([ 9.96727106, 15.36159231, 15.02860769,  0.26582504]), array([ 9.90020639, 17.89609344, 18.92605802,  0.28130059]), array([ 9.19542306, 19.58345684, 19.97698023,  0.29577848]), array([ 9.72715232, 16.98757789, 18.67834396,  0.27365578]), array([ 9.96727106, 15.36159231, 15.02860769,  0.26582504])]"
"[10.0, 20.0, 15.0, 0.4]",[10.06555084 11.56537754 22.85224168  0.23624473],251.58,251.1921,"[array([10.06555084, 11.56537754, 22.85224168,  0.23624473]), array([10.71317806, 10.69492563, 22.69339283,  0.21464458]), array([10.09589481, 10.77556477, 24.52102795,  0.23078896]), array([10.13183642, 10.        , 24.28802512,  0.23649878]), array([11.01670906, 11.60171331, 24.51099256,  0.21530332])]"
"[10.0, 20.0, 20.0, 0.3]",[11.79093028 18.74004005 22.04984166  0.38588231],273.05,272.8997,"[array([11.79093028, 18.74004005, 22.04984166,  0.38588231]), array([11.79791742, 17.83640851, 21.61141279,  0.39969295]), array([10.4       , 19.71608431, 21.49127563,  0.34386115]), array([11.35673744, 18.64011617, 21.80370317,  0.38376415]), array([11.79965932, 16.75611998, 21.0221067 ,  0.32      ])]"
"[12.0, 10.0, 15.0, 0.3]",[12.         16.60056192 21.          0.32      ],295.6,296.1626,"[array([12.        , 16.60056192, 21.        ,  0.32      ]), array([12.        , 17.01539233, 22.22179475,  0.37645602]), array([12.        , 16.79604532, 21.18069887,  0.34615749]), array([12.        , 15.56609153, 21.        ,  0.34018352]), array([12.        , 15.55705705, 21.        ,  0.32615136])]"
"[12.0, 15.0, 20.0, 0.3]",[11.2408322 20.        22.5672619  0.4      ],310.06,301.89282,"[array([11.2408322, 20.       , 22.5672619,  0.4      ]), array([11.85172833, 20.        , 23.10270453,  0.4       ]), array([10.89612175, 20.        , 22.61921425,  0.4       ]), array([10.59559925, 20.        , 24.39570833,  0.4       ]), array([11.03248125, 20.        , 24.86292699,  0.4       ])]"
"[12.0, 15.0, 20.0, 0.4]",[11.34823673 20.         23.51177759  0.4       ],312.15,301.89282,"[array([11.34823673, 20.        , 23.51177759,  0.4       ]), array([11.43009047, 20.        , 23.29717647,  0.4       ]), array([11.60299267, 20.        , 24.91122625,  0.4       ]), array([11.26786657, 20.        , 23.97803016,  0.4       ]), array([11.44653597, 20.        , 23.79258422,  0.4       ])]"
"[12.0, 15.0, 25.0, 0.3]",[12.        16.6415588 25.         0.2828542],282.04,284.54593,"[array([12.       , 16.6415588, 25.       ,  0.2828542]), array([12.        , 15.09249469, 25.        ,  0.29065294]), array([12.        , 17.51801033, 25.        ,  0.25207817]), array([12.        , 16.30921976, 25.        ,  0.28107429]), array([12.        , 16.63989002, 25.        ,  0.27600865])]"
"[12.0, 20.0, 15.0, 0.2]",[10.23716814 14.5676623  16.69441866  0.34926235],259.63,259.78793,"[array([10.23716814, 14.5676623 , 16.69441866,  0.34926235]), array([10.08376059, 13.61538216, 15.11286324,  0.30640304]), array([11.34156706, 13.71247324, 19.62443607,  0.33412442]), array([10.36516792, 13.48231181, 18.72188064,  0.38521411]), array([10.2187821 , 13.90912949, 16.67672343,  0.33821487])]"
"[10.0, 12.5, 22.5, 0.3]",[10.85372608 10.         18.69403838  0.27830769],263.7,263.70734,"[array([10.85372608, 10.        , 18.69403838,  0.27830769]), array([10.95118825, 11.526627  , 18.32260436,  0.27616171]), array([10.75303401, 11.43558751, 18.02512509,  0.28880789]), array([11.31762641, 10.        , 16.65788466,  0.26849996]), array([10.24985069, 10.        , 17.5348866 ,  0.27781492])]"
"[8.0, 10.0, 20.0, 0.2]",[ 9.32897952 11.87102352 22.98443116  0.28      ],236.84,237.83371,"[array([ 9.32897952, 11.87102352, 22.98443116,  0.28      ]), array([ 9.31290958, 10.4163121 , 23.12630503,  0.25082373]), array([ 9.69758889, 11.88306543, 23.9135246 ,  0.2696    ]), array([ 9.79578481, 11.33168408, 24.61073262,  0.26564309]), array([ 9.3267893 , 10.        , 23.08922036,  0.25756591])]"
"[8.0, 10.0, 25.0, 0.2]",[ 8.         20.         19.9912535   0.22969707],196.05,201.95541,"[array([ 8.        , 20.        , 19.9912535 ,  0.22969707]), array([ 8.        , 20.        , 16.61896077,  0.22824873]), array([ 8.        , 20.        , 18.38995031,  0.24643757]), array([ 8.11768102, 20.        , 19.83691768,  0.22875337]), array([ 8.        , 20.        , 19.48272157,  0.22423982])]"
"[8.0, 10.0, 25.0, 0.3]",[ 8.         20.         18.20327805  0.21130588],201.38,201.95541,"[array([ 8.        , 20.        , 18.20327805,  0.21130588]), array([ 8.        , 20.        , 16.45105737,  0.2       ]), array([ 8.        , 20.        , 15.72107341,  0.2       ]), array([ 8.       , 20.       , 19.6943329,  0.2      ]), array([ 8.       , 20.       , 16.1945119,  0.2      ])]"
"[8.0, 10.0, 25.0, 0.4]",[ 9.22809358 20.         15.          0.2774066 ],215.0,216.37631,"[array([ 9.22809358, 20.        , 15.        ,  0.2774066 ]), array([ 9.87428545, 20.        , 17.5690367 ,  0.26192754]), array([ 9.6      , 20.       , 15.       ,  0.2896343]), array([ 9.21146801, 20.        , 15.        ,  0.29258682]), array([ 9.6       , 20.        , 15.        ,  0.29764761])]"
"[8.0, 15.0, 20.0, 0.3]",[ 8.54076212 16.68808778 16.46388564  0.26324144],228.56,229.01279,"[array([ 8.54076212, 16.68808778, 16.46388564,  0.26324144]), array([ 8.54076212, 16.68808778, 16.46388564,  0.26324144]), array([ 8.72204166, 15.26392504, 16.63739558,  0.2889618 ]), array([ 8.36467754, 17.553188  , 15.44271608,  0.28750621]), array([ 8.        , 17.86887906, 16.48456092,  0.29581347])]"
"[8.0, 15.0, 25.0, 0.4]",[ 8.18544624 15.86885306 25.          0.25145267],213.66,212.73093,"[array([ 8.18544624, 15.86885306, 25.        ,  0.25145267]), array([ 8.34967655, 16.0364625 , 25.        ,  0.2587908 ]), array([ 8.        , 19.38885306, 25.        ,  0.26065817]), array([ 8.        , 15.87432424, 25.        ,  0.26181365]), array([ 8.00485954, 18.19247409, 25.        ,  0.28627651])]"
"[8.0, 20.0, 15.0, 0.3]",[ 8.        15.1503746 25.         0.2      ],197.73,206.14,"[array([ 8.       , 15.1503746, 25.       ,  0.2      ]), array([ 8.        , 17.52979862, 25.        ,  0.24479532]), array([ 8.        , 16.19921964, 25.        ,  0.2       ]), array([ 8.        , 15.09312954, 25.        ,  0.2       ]), array([ 8.        , 17.17088325, 25.        ,  0.24840788])]"
"[8.0, 20.0, 25.0, 0.2]",[ 8.         15.00249959 25.          0.23055197],205.25,206.14,"[array([ 8.        , 15.00249959, 25.        ,  0.23055197]), array([ 8.07857512, 17.56964023, 25.        ,  0.22152074]), array([ 8.        , 18.79641325, 25.        ,  0.2       ]), array([ 8.        , 16.81520661, 25.        ,  0.2       ]), array([ 8.        , 18.93716647, 25.        ,  0.2       ])]"
"[8.0, 20.0, 25.0, 0.3]",[ 8.25681032 20.         25.          0.20793787],215.7,215.64891,"[array([ 8.25681032, 20.        , 25.        ,  0.20793787]), array([ 8. , 20. , 25. ,  0.2]), array([ 8. , 20. , 25. ,  0.2]), array([ 8. , 20. , 25. ,  0.2]), array([ 8.0625576 , 20.        , 25.        ,  0.20049859])]"
